bbl,rs_units_19,rs_units_20,rs_units_21,total_units_19,total_units_20,total_units_21,boro,cd,ct_10,year_built,bldg_class,rs_share_19,rs_share_20,rs_share_21
1006260004,1,1,1,20,20,20,1,102,0079,1947,C6,0.05,0.05,0.05
1006260036,18,17,17,47,47,47,1,102,0077,1910,D3,0.3829787234042553,0.3617021276595745,0.3617021276595745
1006260050,1,1,0,18,18,18,1,102,0077,1888,C6,0.05555555555555555,0.05555555555555555,0
1006310017,9,9,9,12,12,12,1,102,0075,1881,C7,0.75,0.75,0.75
1006330015,1,1,1,18,18,18,1,102,0075,1902,C7,0.05555555555555555,0.05555555555555555,0.05555555555555555
1006340036,2,2,2,38,38,38,1,102,0075,1900,C6,0.05263157894736842,0.05263157894736842,0.05263157894736842
1006400044,1,0,0,49,49,49,1,102,0079,1915,C6,0.02040816326530612,0,0
1006420042,11,11,11,76,66,66,1,102,0079,1920,D4,0.14473684210526316,0.16666666666666666,0.16666666666666666
1007080020,246,246,120,251,251,251,1,104,0099,2016,D6,0.9800796812749004,0.9800796812749004,0.47808764940239046
1007220001,3,3,3,6,6,6,1,104,0093,1910,S5,0.5,0.5,0.5
1007220022,12,4,4,32,32,32,1,104,0093,1900,D4,0.375,0.125,0.125
1007220042,2,2,2,18,18,18,1,104,0093,1910,C7,0.1111111111111111,0.1111111111111111,0.1111111111111111
1007320072,9,9,9,16,16,16,1,104,0111,1900,C7,0.5625,0.5625,0.5625
1007360039,2,2,3,9,9,9,1,104,0115,1900,C7,0.2222222222222222,0.2222222222222222,0.3333333333333333
1007400010,12,18,13,20,20,20,1,104,0083,1900,C4,0.6,0.9,0.65
1007400053,3,3,3,15,15,15,1,104,0083,1910,C4,0.2,0.2,0.2
1007410061,11,11,11,16,16,16,1,104,0083,1910,C1,0.6875,0.6875,0.6875
1007420058,9,0,9,21,21,21,1,104,0089,1910,C5,0.42857142857142855,0,0.42857142857142855
1007440043,2,1,1,35,35,35,1,104,0089,1930,D7,0.05714285714285714,0.02857142857142857,0.02857142857142857
1007450029,1,1,1,16,16,16,1,104,0089,1900,C4,0.0625,0.0625,0.0625
1007530018,11,10,10,19,19,19,1,104,0097,1847,C5,0.5789473684210527,0.5263157894736842,0.5263157894736842
1007600068,207,207,207,207,207,207,1,104,0111,2008,D8,1,1,1
1007610064,15,15,15,15,15,15,1,104,0111,1901,C7,1,1,1
1007620048,3,3,3,8,8,8,1,104,0115,1901,C4,0.375,0.375,0.375
1007640051,2,2,2,64,64,64,1,104,0081,1928,D3,0.03125,0.03125,0.03125
1007650013,7,0,7,22,22,22,1,104,0081,1901,C4,0.3181818181818182,0,0.3181818181818182
1007650022,5,3,3,25,25,25,1,104,0081,1915,C4,0.2,0.12,0.12
1007650063,15,10,3,21,21,21,1,104,0081,1901,C4,0.7142857142857143,0.47619047619047616,0.14285714285714285
1007660029,4,0,0,13,13,13,1,104,0081,1915,D1,0.3076923076923077,0,0
1007660050,0,9,8,22,22,22,1,104,0081,1930,C4,0,0.4090909090909091,0.36363636363636365
1007680005,1,0,0,6,6,6,1,104,0087,1930,S5,0.16666666666666666,0,0
1007680083,3,3,3,8,8,8,1,104,0087,1910,C7,0.375,0.375,0.375
1007690005,4,4,4,16,16,16,1,104,0087,1901,C7,0.25,0.25,0.25
1007690062,1,1,1,10,10,10,1,104,0087,1925,C6,0.1,0.1,0.1
1007700043,10,0,10,12,12,12,1,104,0087,1920,C7,0.8333333333333334,0,0.8333333333333334
1007700070,3,3,3,35,35,35,1,104,0087,1900,C6,0.08571428571428572,0.08571428571428572,0.08571428571428572
1007710013,3,3,3,15,15,15,1,104,0087,1920,C4,0.2,0.2,0.2
