,BBL,Aleration_Count,altered_lessthan5yrs,altered_morethan5yrs,ClassANet_Avg,Enlargement_Count
538,1005060046,1,0,1,0.0,0
539,1005060047,1,1,0,0.0,0
540,1005060053,1,0,1,-3.0,0
541,1005070003,1,0,1,-1.0,0
542,1005070010,1,1,0,-1.0,0
543,1005070019,1,0,1,-1.0,0
544,1005070023,1,0,1,0.0,0
545,1005070029,1,0,1,3.0,0
546,1005077502,1,1,0,0.0,0
547,1005080001,1,0,1,-1.0,0
548,1005080035,1,0,1,1.0,0
549,1005080036,1,0,1,-1.0,0
550,1005080038,1,0,1,0.0,0
551,1005080049,1,0,1,0.0,0
552,1005080053,2,0,1,0.5,0
553,1005087502,3,1,0,0.0,0
554,1005087504,1,0,1,-1.0,0
555,1005090026,1,0,1,-2.0,0
556,1005107501,2,1,0,0.5,0
557,1005107502,1,0,1,6.0,0
558,1005110012,2,1,0,0.0,0
559,1005120014,1,0,1,0.0,0
560,1005120015,1,0,1,0.0,0
561,1005127501,1,0,1,1.0,0
562,1005127503,1,1,0,0.0,0
563,1005130010,1,0,1,3.0,0
564,1005130030,1,0,1,0.0,0
565,1005130033,1,0,1,-1.0,0
566,1005147502,1,1,0,0.0,0
567,1005160042,1,1,0,0.0,0
568,1005180001,1,0,1,0.0,0
569,1005190029,1,0,1,-1.0,0
570,1005190058,1,0,1,-1.0,0
571,1005190060,1,1,0,0.0,0
572,1005190061,1,0,1,-3.0,0
573,1005200054,1,1,0,0.0,1
574,1005200083,1,1,0,0.0,0
575,1005200085,1,0,1,-3.0,0
576,1005210045,1,0,1,-2.0,0
577,1005210077,1,0,1,0.0,0
578,1005217505,1,0,1,19.0,0
579,1005220031,1,0,1,2.0,0
580,1005240066,1,1,0,-3.0,0
581,1005250034,1,1,0,-2.0,0
582,1005250051,1,0,1,2.0,0
583,1005250052,1,0,1,2.0,0
584,1005257503,1,0,1,0.0,0
585,1005260025,1,0,1,0.0,0
586,1005260048,1,0,1,-2.0,0
587,1005260056,1,0,1,1.0,0
588,1005260077,1,1,0,-2.0,1
589,1005270002,1,1,0,-2.0,1
590,1005270003,1,0,1,-3.0,0
591,1005270053,1,1,0,0.0,0
592,1005270091,1,0,1,0.0,0
593,1005280077,1,0,1,-1.0,0
594,1005280084,1,1,0,1.0,0
595,1005290033,1,0,1,2.0,0
596,1005290034,1,0,1,0.0,0
597,1005297502,1,0,1,-1.0,0
598,1005297505,1,0,1,0.0,0
599,1005297508,1,0,1,1.0,0
600,1005300006,1,0,1,0.0,0
601,1005300025,1,0,1,3.0,0
602,1005300055,1,0,1,0.0,0
603,1005300132,1,1,0,0.0,0
604,1005310045,1,1,0,0.0,0
605,1005317501,4,1,0,0.0,0
606,1005330001,1,0,1,-7.0,0
607,1005370011,1,1,0,4.0,0
608,1005390018,1,0,1,1.0,0
609,1005390021,1,1,0,4.0,0
610,1005390031,1,1,0,0.0,0
611,1005390035,1,0,1,0.0,0
612,1005390036,1,0,1,0.0,0
613,1005390037,1,1,0,2.0,0
614,1005397501,1,0,1,-1.0,0
615,1005400030,1,0,1,-2.0,0
616,1005420040,1,0,1,-1.0,0
617,1005430013,1,0,1,0.0,0
618,1005430050,1,0,1,-1.0,0
619,1005430066,1,0,1,0.0,1
620,1005440011,1,0,1,0.0,0
621,1005440013,1,1,0,1.0,0
622,1005440045,1,0,1,-1.0,0
623,1005440047,1,1,0,0.0,0
624,1005440065,2,0,1,0.5,0
625,1005440067,1,0,1,8.0,0
626,1005447501,1,1,0,0.0,0
627,1005460015,1,0,1,0.0,0
628,1005480024,1,0,1,0.0,0
629,1005480040,1,0,1,-14.0,0
630,1005500001,1,0,1,-10.0,0
631,1005500013,1,0,1,-3.0,0
632,1005500032,1,0,1,-1.0,0
633,1005510001,1,1,0,0.0,0
634,1005510007,1,0,1,-6.0,0
635,1005510019,1,1,0,2.0,0
636,1005510021,1,0,1,1.0,0
637,1005520013,1,0,1,-6.0,0
638,1005520015,1,0,1,-1.0,0
639,1005520016,1,0,1,-4.0,1
640,1005520024,1,0,1,-38.0,0
641,1005520050,1,0,1,-5.0,0
642,1005520053,1,1,0,0.0,0
643,1005520071,1,1,0,0.0,0
644,1005527504,1,0,1,0.0,0
645,1005530034,1,0,1,-6.0,0
646,1005550014,1,0,1,0.0,0
647,1005550048,1,0,1,1.0,0
648,1005560015,1,1,0,0.0,0
649,1005560048,1,1,0,1.0,0
650,1005577501,1,0,1,0.0,0
651,1005580010,1,1,0,0.0,0
652,1005580030,1,0,1,2.0,1
653,1005580037,2,0,1,0.0,0
654,1005587504,1,1,0,0.0,0
655,1005590022,1,1,0,0.0,0
656,1005590036,1,1,0,0.0,0
657,1005590055,1,1,0,-4.0,0
658,1005610003,1,1,0,1.0,0
659,1005617501,1,0,1,0.0,0
660,1005617502,1,0,1,0.0,0
661,1005627503,1,0,1,6.0,0
662,1005630037,1,1,0,0.0,0
663,1005630046,1,0,1,0.0,0
664,1005640011,2,0,1,0.0,0
665,1005640022,1,0,1,0.0,0
666,1005640045,1,0,1,0.0,0
667,1005647503,1,1,0,-2.0,0
668,1005650015,2,1,0,0.0,0
669,1005670009,1,1,0,-5.0,0
670,1005670014,1,0,1,0.0,0
671,1005677501,1,0,1,2.0,0
672,1005680001,1,1,0,257.0,0
673,1005680009,1,1,0,-2.0,0
674,1005680010,1,1,0,-3.0,0
675,1005680030,1,0,1,0.0,0
676,1005690030,1,0,1,-3.0,0
677,1005690032,1,0,1,-5.0,0
678,1005697505,1,0,1,7.0,0
679,1005700016,1,1,0,0.0,0
680,1005700017,1,1,0,-8.0,0
681,1005700019,1,1,0,0.0,0
682,1005700038,1,1,0,0.0,0
683,1005707502,1,0,1,8.0,0
684,1005707504,1,1,0,9.0,0
685,1005717501,2,0,1,0.0,0
686,1005720002,2,0,1,0.5,0
687,1005720012,1,0,1,-3.0,0
688,1005720014,1,0,1,-4.0,0
689,1005720032,1,1,0,-4.0,0
690,1005720033,1,0,1,2.0,0
691,1005720045,1,0,1,-21.0,0
692,1005720054,1,1,0,8.0,0
693,1005720060,1,0,1,0.0,0
694,1005720061,1,1,0,0.0,0
695,1005720062,1,0,1,0.0,0
696,1005720064,1,0,1,0.0,0
697,1005730017,1,0,1,0.0,0
698,1005730027,1,0,1,1.0,0
699,1005730043,2,1,0,-1.0,0
700,1005730052,1,1,0,-3.0,0
701,1005730053,1,0,1,1.0,0
702,1005730067,1,0,1,-6.0,0
703,1005730068,1,0,1,0.0,0
704,1005730070,1,0,1,-3.0,0
705,1005737503,1,0,1,0.0,0
706,1005740014,1,1,0,0.0,0
707,1005740018,1,1,0,0.0,0
708,1005740023,1,1,0,0.0,0
709,1005740039,1,0,1,-2.0,0
710,1005740063,1,1,0,0.0,0
711,1005750011,1,0,1,1.0,0
